SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
1,Riggs,Jennifer,F,1.77,41.78,61208146V,Spain,"Boat Patcher, Plastic",56669,Playing Music,Lexus,41.0,1.0
2,Rowe,Brittany,F,1.4,55.1,22465359Q,Argentina,"Harvest Worker, Fruit",45484,Hiking,-,31.0,0.0
3,Mason,Peter,M,1.69,69.89,32319949N,Belgium,"Checker, Bakery Products",100715,Fishing,-,18.0,1.0
4,Mcfarland,Mary,F,1.62,42.06,P1507537Q,Argentina,"Supervisor, Dog License Officer",29484,Traveling,-,26.0,0.0
5,Serrano,Donald,M,1.94,52.11,P1287413X,Netherlands,Folding-Machine Operator,13252,Motorcycling,-,25.0,2.0
6,Cantrell,Andrew,M,1.91,71.37,P2669728M,Japan,"Contract Clerk, Automobile",81217,Tennis,Lexus,33.0,1.0
7,Hampton,Denise,F,1.61,40.22,V4962194M,Italy,Plate Inspector,41754,Hunting,-,31.0,0.0
8,Hardy,Joan,F,1.61,42.22,I5915087Z,Denmark,Energy-Conservation Representative,14374,Painting,-,37.0,0.0
9,Case,Sharon,F,1.61,39.32,J8667788R,Ireland,Roller,31441,Entertaining,-,30.0,1.0
10,King,Victoria,F,1.82,56.79,I8833402Q,Austria,Counter Former,97599,Skiing,Mitsubishi,30.0,0.0
11,Price,Angela,F,1.6,42.93,17781272A,Turkey,Body-Make-Up Artist,18252,Family Time,-,29.0,1.0
12,Whitney,Brittany,F,1.57,49.86,27828548Y,Hungary,Last Putter-Away,38833,Theater,-,34.0,0.0
13,Nixon,Willie,M,1.94,60.73,F6698974O,Ireland,Marker Machine Attendant,69880,Hunting,-,30.0,0.0
14,Patrick,Barbara,F,1.59,50.58,C0220959B,Mexico,Photoengraver,44520,Housework,-,25.0,1.0
15,Banks,Russell,M,1.55,61.06,M0366038W,Ireland,"Deputy Sheriff, Civil Division",22434,Entertaining,-,28.0,2.0
16,Ballard,Diane,F,1.65,39.32,50147734O,Greece,"Chemist, Water Purification",18200,Dancing,-,26.0,1.0
17,Charles,Johnny,M,1.67,54.4,47812716Z,Luxembourg,Truer,9172,Animal Care,-,26.0,0.0
18,Barrett,Margaret,F,1.68,49.31,39712715V,Ireland,"Hide Stretcher, Hand",17587,Eating Out,-,31.0,0.0
19,Talley,Donald,M,1.84,75.53,O2883793O,Malta,"Kettle Tender, Platinum And Palladium",23035,Tennis,-,22.0,1.0
20,Leblanc,Ethan,M,1.76,62.08,C0530437O,Malta,Geophysical Prospector,50866,Entertaining,Chrysler,15.0,1.0
21,Simmons,Johnny,M,1.94,87.51,G0648784R,Finland,Coating-Machine Operator,18709,Relaxing,-,22.0,1.0
22,Jennings,Kayla,F,1.75,42.9,07742646W,Czechia,Casket Inspector,10278,Working on Cars,-,43.0,1.0
23,Mueller,Billy,M,1.94,51.36,L3700990X,Indonesia,"Grinding-Machine Operator, Portable",145976,Boating,Hyundai,33.0,1.0
24,Mayer,Steven,M,1.9,48.36,35815040N,Australia,"Supervisor, Coal Handling",14588,Watching Sports,-,23.0,0.0
25,Ferguson,Michelle,F,1.55,58.01,J4193457A,Senegal,Sign Erector Ii,101395,Hiking,-,42.0,0.0
26,Holloway,Anna,F,1.52,55.99,H5032821F,Italy,Optical Engineer,158587,Animal Care,-,38.0,0.0
27,Lee,Vincent,M,1.94,65.57,Q6952610W,Luxembourg,Jewel-Bearing Facer,52530,Golf,Acura,35.0,0.0
28,Potts,Richard,M,1.94,48.36,L5779729C,India,"Supervisor, Spring-Up",40999,Entertaining,Geely,31.0,0.0
